run_dir,pred_file,true_file,n,ARI,Purity
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p50drop_rep2,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p50drop_rep2\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p50drop_rep2\labels.csv,128,0.335013,0.671875
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p75drop_rep0,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p75drop_rep0\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p75drop_rep0\labels.csv,128,0.269670,0.570312
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p75drop_rep1,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p75drop_rep1\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p75drop_rep1\labels.csv,128,0.402061,0.679688
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p75drop_rep2,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p75drop_rep2\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L100_n32_plev70_p75drop_rep2\labels.csv,128,0.037129,0.398438
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p0drop_rep0,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p0drop_rep0\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p0drop_rep0\labels.csv,128,0.051280,0.390625
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p0drop_rep1,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p0drop_rep1\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p0drop_rep1\labels.csv,128,0.134976,0.484375
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p0drop_rep2,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p0drop_rep2\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p0drop_rep2\labels.csv,128,0.280964,0.562500
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p10drop_rep0,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p10drop_rep0\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p10drop_rep0\labels.csv,128,0.063860,0.414062
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p10drop_rep1,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p10drop_rep1\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p10drop_rep1\labels.csv,128,0.150211,0.500000
C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p10drop_rep2,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p10drop_rep2\clusters_pred.csv,C:\ARI_Dashboard\Essaie\A_noise_dense\run_k4L10_n32_plev30_p10drop_rep2\labels.csv,128,0.256752,0.539062
